title,price,thumbnail,category,description,url,author
"8 godina u najtežem zatvoru Tajlanda","1.190 rsd","https://www.korisnaknjiga.com/photo/books0212/p211575b0.jpg","Biografije, autobiografije, memoari","Odlomak:

Ali, 30.april 2011. godine, 20:13 sati po lokalnom vremenu, u Puketu, kao grom dogodio se trenutak kada sam zeznuo svoj život – ispoveda u ovoj izuzetnoj ispovesti svoje dramatično iskustvo i život koji je proveo iza rešetaka u strašnim i surovim uslovima.

Svako osećanje, brutalnost, bezizlaz, slom, gubitak nade da će ponovo grliti ćerkicu, zagrliti majku, opisani su sa tolikom snagom i sugestivnošću, da je Maksimova sudbinska priča više od folma! Ovo je bio stvarni život. Pakao!

U Bombat Piset Klangu, najtežem zatvoru u Bangkoku, zvali su ga “stranac”. Kao Evropljanin nalazio se na najnižoj lestvici među zatvorenicima. 17 sati dnevno provodio je na nepunom kvadratnom metru betonskog poda, a noću naslanjao glavu na praznu plastičnu flašu.

On opstaje jer čeličnom voljom održava svoje telo u formi. Kako bi sačuvao svoje fizičko zdravlje odlučuje se za duhovni put.

Oko mene je bio pravi horor i shvatio sam da prava sloboda počinje samo u meni. Zvuči čudno, ali zatvor je od mene napravio boljeg čoveka i uvek ću biti zahvalan na tome.","8-godina-u-najtezem-zatvoru-tajlanda-naslov-211575","Maksim Klasanović"
"Čovek koji je pušio Bibliju","1.210 rsd","https://www.korisnaknjiga.com/photo/books0210/p209975b0.jpg","Biografije, autobiografije, memoari","Podnaslov dela glasi: Potresna životna priča nekadašnjeg robijaša.

SADRŽAJ
1.	đavo 9
2.	Beg	27
3.	Šansa 59
4.	Krivica	 95
5.	Spasenje 109
6.	Izmirenje 139
7.	Iskušenje 159
8.	Poverenje 123
9.	Otac 183
Epilog					123
Napomene 			122","covek-koji-je-pusio-bibliju-naslov-209975","Vilhelm Bunc"
"Ja, Pink Panter 3: Povratak","990 rsd","https://www.korisnaknjiga.com/photo/books0206/p205869b0.jpg","Biografije, autobiografije, memoari","Iz recenzije:

’’Na sebi svojstven način, Olivera Ćirković vrlo realistično piše o svim užasima grčkog kazamata i pravosuđa. Čvrsto rešena da pobedi neočekivanu pravnu zavrzlamu koja joj je prepreka na putu ka slobodi, odlučno kreće u borbu protiv zatvorske nepravde i nelogičnosti, ne libeći se da stupi čak i u štrajk glađu samo da dobije ono što joj već pripada, a to je dugoočekivana i zaslužena sloboda.

Nakon izlaska iz zatvora, obeshrabrena i odviknuta od „normalnog“ sveta, Olivera odlučuje da život ponovo stavi na kocku i vrati se svom starom zanatu – kriminalu. Ipak, spletom neočekivanih okolnosti dolazi do zaokreta, koji će je vinuti do neslućenih visina popularnosti, i to zahvaljujući baš onome na šta u životu nije računala, a to je – pisanje knjiga.

Olivera nas po treći put zavodi događajima iz svog života u zatvoru i posle njega, istovremeno nas uvlačeći u jedan svet pun raznoraznih živopisnih likova, gradova i sajmova. Ovom knjigom ona zatvara trilogiju posvećenu svom životu, a nama ostavlja svedočanstvo jedne bivše sportistkinje i prestupnice koje će nas uvek podsećati da ljubav, iskrenost i upornost pobeđuju na našem putu ka uspehu.

Greh nije pasti, greh je pasti a ne ustati, a Oliverin primer snažno potvrđuje tezu da se i oni pali na krajnje dno mogu dići iz pepela i odsanjati svoje snove, i to na potpuno legalan i društveno prihvatljiv način.’’","ja-pink-panter-3-povratak-naslov-205869","Olivera Ćirković"
"Grad: Psihobiografija cara Dušana","1.320 rsd","https://www.korisnaknjiga.com/photo/books0203/p202916b0.jpg","Biografije, autobiografije, memoari","Iz recenzije:

’’Grad, psihobiografija Stefana Uroša IV Dušana Nemanjića, predstavlja neku vrstu podvižništva, upravo napor potrage za Duhom istorije, koji se krije medju tumulusima i apsidama nekropola, medju zapisima na belinama knjiga, povelja i stenopisa. To je neka vrsta nevidljivog, ali nesumnjivo postojećeg paralelnog sveta u kome žive i umiru stvarni ljudi sa svojim porodicama, prijateljima i neprijateljima, sa svojim ljubavima i mržnjama, strahovima, opsesijama, osujećenjima i ostvarenjima, dubokim potištenostima, ushićenjima i egzaltacijama.

...izdajnička strast koju autor nastoji da prikrije, fascinacija likovima i vremenom, i intelektalna intuicija koja se spontano nameće, oplemenju ravnodušnost istoriografije i hladnu aroganciju psihologije, dajući tekstu drugu dimenziju.’’","grad-psihobiografija-cara-dusana-naslov-202916","Aleksandar Misojčić"
"Ovo sam ja","799 rsd","https://www.korisnaknjiga.com/photo/books0200/p199660b0.jpg","Biografije, autobiografije, memoari","Aca Lukas, jedna od najvećih muzičkih zvezda Balkana, u ovoj knjizi, surovo iskreno i bez dlake na jeziku, otkriva sve one šokantne detalje iz svog privatnog i profesionalnog života koji su oduvek pobuđivali radoznalost javnosti. Svoju ispovest pevač započinje boravkom u zatvoru, a nakon toga hronološki iznosi događaje koji su sledili.

Odlomak:

Sve laži o meni su istinite i sve istine o meni su lažne

… Moja karijera je od početka bila ozbiljna stihija u kojoj još uvek dobro plivam i pritom uživam…

… Imao sam lisice na rukama kad sam se u zatvorskom hodniku sreo s Cecom Ražnatović…

… U zatvoru sam shvatio da čovek može da živi bez seksa, ali ne može da živi bez pesme…

… Za jednu saobraćajku sa falš vozačkom dozvolom dobio sam četiri tužbe…

… U hotelu u Negotinu pokušao sam da provedem jednu noć kao Kit Ričards…

… Moja prva supruga Ceca bila mi je drugarica iz detinjstva, Nataša je htela da živim po njenim principima, a Sonja je pokušala da od mene napravi pudlicu…

… Posle dvonedeljnih bahanalija u Parizu otišao sam u Švajcarsku, u specijalnu ustanovu za odvikavanje od droge…

… Uoči koncerta u Međugorju vođa zelenih beretki iz Mostara poručio je da će me ubiti, a posle koncerta smo postali prijatelji…

… Zašto na takmičenjima početnika majke padaju u nesvest, a očevi članovima žirija preporučuju svoje ćerke?…","ovo-sam-ja-naslov-199660","Aca Lukas"
"Život čoveka na Balkanu","1.540 rsd","https://www.korisnaknjiga.com/photo/books0163/p162030b0.jpg","Biografije, autobiografije, memoari","Odlomak:

...Taj život, život jednog čoveka sa Balkana, odigravan u jednom čudnom vrtlogu nacionalnih, verskih, ideoloških, političkih i društvenih sukoba, strasti, međusobnog uništavanja, nemilorodnih sudbina, jezivih tragedija, često usred jedne herojske simfonije podviga i stradanja, želim ovde da evociram...

...Jer to što ja hoću da evociram, to nije samo moj život, to je uglavnom život miliona ljudi sa jednog istog geografskog područja i iz jedne iste istorijske epohe, često nerazumljive i neverovatne za one koji su bili izvan toga prostora i izvan toga vremena...","zivot-coveka-na-balkanu-naslov-162030","Stanislav Krakov"
"Znam zašto ptica u kavezu peva","990 rsd","https://www.korisnaknjiga.com/photo/books0140/p139863b0.jpg","Biografije, autobiografije, memoari","Prva od šest autobiografskih knjiga autorke. Smatra se njenom majupečatljivijom zbirkom memoara.

Iz recenzija:

„Njen portret je biblijska studija života okruženog smrću.“

Džejms Boldvin

„Predivna knjiga – bezuslovno očaravajuća memoarska proza za naše i bilo koje drugo vreme… Maja Anđelou je rođena spisateljica sa razvijenim čulom za život, a ovo je njena izuzetna autobiografska priča.“

Kirkus rivju

„U svim svojim delima Maja Anđelou istražuje koncepte ličnog identiteta i ljudske istrajnosti iz perspektiva rase, pola, porodice, zajednice i kolektivne prošlosti.“

Njujork tajms

„Dirljiva priča o jednom nesvakidašnjem detinjstvu.“

Gardijan","znam-zasto-ptica-u-kavezu-peva-naslov-139863","Maja Anđelou"
"Komandant","850 rsd","https://www.korisnaknjiga.com/photo/books0119/p118810b0.jpg","Biografije, autobiografije, memoari",",,Komandant"" je knjiga o Ratku Mladiću, njegovoj umešnosti u komandovanju, sa ciljem da se osvetli njegov obraz i da se odbace optužbe za genocid. Biografija generala, koju je sačinio istoričar dr Bojan Dimitrijević, u sebi sadrži mnoge osobenosti koje izmiču uobičajenom pogledu na njegov ratni put. 
S obzirom da je skoro osuđen na najdrastičniju moguću kaznu koju haški sud izriše, kao i nezavršenost istorijskih i političkih procesa, bavljenje njegovom biografijom značajno je danas više nego ikada. Ovo je smeo potez da se slika o čuvenom komandantu makar malo osvetli.","komandant-naslov-118810","Bojan Dimitrijević"
"Ja, Pink Panter: Ispovest","990 rsd","https://www.korisnaknjiga.com/photo/books0083/p082880b0.jpg","Biografije, autobiografije, memoari","Pink Panter – Moja zatvorska ispovest jeste iskrena priča Olivere Ćirković o svom životu, žrtvama i patnji. Olivera iznosi bolnu istinu o tome kako je ostala bez slobode i prava na istinu jer je verovala u ljude i svet.
Ona piše o vremenu raspada Jugoslavije, o istoriji zabluda i snova njene generacije. Olivera je bila odlična košarkašica, a završila je iza rešetaka. Bila je članica kriminalne grupe Pink Panter i u ovoj knjizi ona piše sve o svom životnom putu i da li je on bio nametnut ili ličan izbor.","ja-pink-panter-ispovest-naslov-82880","Olivera Ćirković"
"Iz dubina","700 rsd","https://www.korisnaknjiga.com/photo/books0083/p082318c0.jpg","Biografije, autobiografije, memoari","Roman Iza dubina pokazuje koja istina se krije iza hrišćanske pesme i himne Amazing Grace (Zadivljujuća milost). Himnu je napisao Džon Njutn nakon što ga je Božja milost izvukla iz kandži  ponora, trgovine robljem i moralnog posrnuća. Himna je napisana po istinitoj priči o osobi koja je spasena uz Božju volju i milost.","iz-dubina-naslov-82318","Džon Njutn"
